temperature_C,th1_adc_V,th2_adc_V,open_V,short_V
32,1.4332231443274146,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
33,1.403487669781189,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
34,1.3741070700177236,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
35,1.3450942748674117,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
36,1.3164611625807388,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
37,1.2882185710836704,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
38,1.2603763131631012,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
39,1.232943195243987,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
40,1.2059270394154997,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
41,1.1793347083631414,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
42,1.1531721328666946,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
43,1.1274443415301438,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
44,1.1021554924185981,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
45,1.0773089062885477,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
46,1.0529071011111442,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
47,1.0289518276031648,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
48,1.0054441054966108,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
49,0.9823842602951572,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
50,0.9597719602836704,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
51,0.9376062535753326,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
52,0.9158856049994484,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
53,0.8946079326515093,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
54,0.8737706439452083,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
55,0.8533706710239458,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
56,0.833404505406505,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
57,0.8138682317581047,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
58,0.7947575606937394,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
59,0.7760678605355807,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
60,0.757794187960179,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
61,0.739931317484156,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
62,0.7224737697491803,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
63,0.7054158385780219,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
64,0.6887516167836144,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
65,0.6724750207222092,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
66,0.6565798135899129,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
67,0.6410596274692788,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
68,0.6259079841390945,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
69,0.6111183146662131,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
70,0.5966839778032044,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
71,0.5825982772198275,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
72,0.5688544775998918,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
73,0.5554458196380008,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
74,0.5423655339731004,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
75,0.5296068540975902,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
76,0.5171630282821975,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
77,0.5050273305577748,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
78,0.49319307079582464,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
79,0.48165360392981144,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
80,0.4704023383593192,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
81,0.45943274357883096,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
82,0.4487383570724073,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
83,0.43831279051485117,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
84,0.42814973531908457,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
85,0.4182429675684704,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
86,0.40858635237170643,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
87,0.3991738476767104,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
88,0.3899995075786563,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
89,0.38105748515598187,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
90,0.3723420348668429,1.0773089062885464,3.2999999670000006,3.2999967000033e-06
