true_bead_C,modeled_error_min_C,modeled_error_max_C,half_LSB_error_max_C,self_heating_estimate_C,source_impedance_ohm,filter_tau_ms,filter_settle_half_LSB_ms,R25_positive_parameter_error_C,beta_positive_parameter_error_C,pullup_positive_parameter_error_C,ADC_2LSB_positive_parameter_error_C
41,-1.7094226779020119,1.7378769657807425,0.061175425691430974,0.3126217729060487,4573.741540494365,0.4573741540494365,3.486856786061529,-0.28562082815676604,0.8451992601312099,0.286141139276765,-0.24409477340498142
42,-1.7725503082786531,1.80341192952676,0.0621963982260354,0.3094577588049711,4494.461008686949,0.44944610086869485,3.4264161472786525,-0.2874412626779872,0.9010343087790034,0.28796655838579,-0.24814036046961974
43,-1.8361980455252365,1.8695861085404317,0.06326337960268802,0.3061794479751417,4416.498004636796,0.44164980046367963,3.3669799444833735,-0.28926747485826354,0.9572245584524808,0.28979778688750457,-0.25236807927075233
44,-1.9003684630817474,1.936405249013717,0.06437716952859773,0.3027957994391112,4339.865128541203,0.4339865128541203,3.3085577836149547,-0.29109946464717495,1.013770188425326,0.29163482483249936,-0.2567810073973078
45,-1.965064276094381,2.003875356819549,0.06553860624131858,0.2993156138979473,4264.572443298625,0.42645724432986254,3.251157336266874,-0.2929372319948129,1.0706713780918449,0.2934776722711945,-0.2613823710284464
46,-2.030288338934554,2.0720026968049297,0.06674856613358315,0.29574750876206257,4190.627579124675,0.41906275791246755,3.1947844194423114,-0.294780776850871,1.1279283069673625,0.2953263292542374,-0.2661755431035999
47,-2.0960436428782145,2.1407937923610802,0.06800796342054127,0.2920998959453189,4118.035841221712,0.41180358412217116,3.139443077637591,-0.29663009916527017,1.185541154687769,0.2971807958321051,-0.2711640416476939
48,-2.1623333139344822,2.210255425255866,0.06931774984508365,0.28838096235761673,4046.8003196866957,0.40468003196866953,3.085135666631993,-0.29848519888781766,1.2435101010101448,0.29904107205533137,-0.27635152824279885
49,-2.229160610815029,2.2803946357168456,0.07067891441903384,0.28459865301229414,3976.9220008944126,0.39769220008944123,3.031862938402337,-0.30034607596832075,1.3018353258124193,0.30090715797439316,-0.2817418066344999
50,-2.296528923033179,2.3512187227533445,0.07209248319986727,0.28076065664866895,3908.399879647484,0.39083998796474834,2.979624126622133,-0.30221273035664353,1.3605170090939964,0.30277905363993796,-0.28733882146451606
51,-2.3644417691251647,2.422735244706189,0.07355951909812575,0.2768743937568781,3841.2310714403984,0.38412310714403985,2.9284170322476606,-0.30408516200270697,1.4195553309752427,0.30465675910249956,-0.2931466571214969
